ID, date, average, transport, household, clothing, health, food, transport_walking, transport_car, transport_train, transport_bus, transport_plane, household_heating, household_electricity, household_furnishings, household_lighting, clothing_fastfashion, clothing_sustainable, health_medicines, health_scans, food_meat, food_fish, food_dairy, food_oils
high,2020-09-30 20:13:38,2558.87,997.96,665.31,230.3,383.83,281.48,189.61,229.53,109.78,159.67,159.67,172.98,159.67,159.67,172.98,115.15,115.15,145.86,237.97,121.04,56.3,45.04,59.11
low,2020-12-26 16:49:04,1665.8,449.77,616.35,183.24,199.9,216.55,67.47,62.97,67.47,85.46,58.47,166.41,154.09,129.43,166.41,111.78,71.46,95.95,103.95,84.45,38.98,51.97,41.14
average,2021-01-16 21:21:37,2172.56,673.49,782.12,195.53,282.43,238.98,80.82,87.55,107.76,114.49,127.96,86.03,226.81,250.28,218.99,119.27,76.26,206.17,76.26,172.07,16.73,26.29,23.9
high,2021-06-26 19:22:40,2716.0,679.0,950.6,461.72,325.92,298.76,115.43,183.33,108.64,74.69,74.69,161.6,247.16,304.19,237.65,272.41,189.31,205.33,120.59,152.37,53.78,41.83,50.79
low,2021-07-07 00:29:02,1324.39,437.05,370.83,172.17,172.17,172.17,78.67,48.08,78.67,74.3,61.19,92.71,100.12,96.42,81.58,103.3,68.87,99.86,72.31,48.21,43.04,39.6,41.32
average,2021-07-24 09:28:08,2225.46,556.36,734.4,311.56,222.55,400.58,111.27,150.22,94.58,38.95,55.64,88.13,257.04,212.98,176.26,202.51,109.05,144.66,77.89,280.41,28.04,28.04,64.09
high,2021-06-25 14:25:37,2866.29,888.55,716.57,573.26,257.97,429.94,97.74,186.6,106.63,177.71,133.28,128.98,207.81,164.81,214.97,384.08,189.18,92.87,165.1,176.28,60.19,77.39,116.08
low,2021-01-11 04:30:53,1519.46,395.06,486.23,182.34,227.92,227.92,86.91,51.36,71.11,63.21,51.36,87.52,136.14,116.7,145.87,100.29,82.05,70.66,157.26,104.84,36.47,50.14,36.47
average,2021-07-13 05:18:45,2203.09,815.14,727.02,242.34,154.22,264.37,138.57,122.27,105.97,89.67,171.18,138.13,167.21,203.57,218.11,167.21,75.13,83.28,70.94,145.4,58.16,23.79,37.01
high,2021-04-03 10:50:36,2803.58,756.97,925.18,392.5,392.5,336.43,98.41,128.68,151.39,98.41,136.25,222.04,148.03,240.55,314.56,227.65,164.85,227.65,164.85,215.32,37.01,40.37,43.74
low,2021-03-09 07:38:41,1646.72,477.55,625.75,263.48,148.2,131.74,128.94,81.18,71.63,90.73,52.53,150.18,131.41,168.95,175.21,144.91,118.57,68.17,80.03,60.6,23.71,25.03,22.4
average,2020-12-09 21:29:33,2206.96,728.3,750.37,264.84,331.04,132.42,218.49,145.66,131.09,87.4,87.4,142.57,240.12,165.08,202.6,177.44,87.4,125.8,205.24,83.42,15.89,18.54,14.57
high,2021-08-04 02:05:33,3049.56,1128.34,975.86,274.46,335.45,335.45,248.23,236.95,225.67,90.27,146.68,165.9,312.28,273.24,224.45,172.91,101.55,204.62,130.83,181.14,60.38,46.96,46.96
low,2021-07-15 15:13:01,1675.15,653.31,636.56,150.76,83.76,150.76,84.93,71.86,78.4,117.6,163.33,89.12,178.24,159.14,210.06,101.01,49.75,51.09,32.67,102.52,13.57,12.06,22.61
average,2021-05-23 19:22:44,2244.95,897.98,673.48,202.05,269.39,202.05,224.5,206.54,152.66,107.76,125.72,161.64,208.78,134.7,168.37,103.05,99.0,167.02,102.37,101.02,26.27,38.39,36.37
high,2021-06-12 16:12:29,2605.86,938.11,677.52,312.7,286.64,390.88,93.81,262.67,178.24,131.34,121.95,74.53,216.81,182.93,203.26,206.38,106.32,83.13,203.51,168.08,109.45,50.81,62.54
low,2021-02-18 07:56:48,1347.38,458.11,390.74,175.16,202.11,121.26,114.53,87.04,82.46,50.39,41.23,46.89,93.78,117.22,132.85,103.34,71.82,82.87,119.24,52.14,27.89,20.61,20.61
average,2021-05-28 07:19:22,2228.1,868.96,824.4,133.69,222.81,178.25,243.31,121.65,130.34,139.03,121.65,189.61,189.61,156.64,288.54,92.25,41.44,91.35,131.46,64.17,35.65,30.3,48.13
high,2020-12-14 06:17:53,3049.22,1036.73,1067.23,274.43,335.41,335.41,176.24,248.82,196.98,165.88,176.24,245.46,266.81,149.41,405.55,148.19,126.24,90.56,244.85,224.72,36.9,33.54,40.25
low,2021-04-26 04:21:43,1235.17,444.66,370.55,148.22,135.87,135.87,106.72,80.04,75.59,57.81,57.81,37.05,96.34,111.17,125.99,77.07,71.15,100.54,35.33,38.04,42.12,24.46,31.25
average,2021-06-14 21:00:31,2265.73,634.4,589.09,339.86,362.52,339.86,183.98,101.5,107.85,57.1,95.16,159.05,123.71,123.71,182.62,231.1,108.76,246.51,116.01,132.55,64.57,74.77,67.97
high,2021-03-29 14:10:20,2760.36,966.13,855.71,220.83,386.45,331.24,260.86,115.94,96.61,144.92,164.24,85.57,231.04,359.4,179.7,112.62,108.21,119.8,266.65,221.93,39.75,46.37,23.19
low,2021-04-19 09:51:00,1208.23,362.47,398.72,120.82,157.07,169.15,108.74,58.0,43.5,47.12,43.5,63.8,87.72,127.59,119.62,66.45,54.37,62.83,94.24,72.73,25.37,50.74,20.3
average,2021-03-09 19:31:11,2203.46,616.97,572.9,264.42,440.69,308.48,86.38,74.04,111.05,148.07,92.55,103.12,183.33,154.68,131.77,140.14,124.28,189.5,251.19,77.12,101.8,77.12,52.44
high,2020-09-25 23:44:43,3166.49,1171.6,949.95,284.98,379.98,379.98,257.75,257.75,199.17,117.16,152.31,189.99,284.99,256.49,218.49,193.79,91.19,227.99,151.99,132.99,83.6,95.0,68.4
low,2021-03-28 09:56:54,1217.52,328.73,353.08,243.5,170.45,121.75,36.16,39.45,42.73,59.17,65.75,74.15,109.45,63.55,105.92,155.84,87.66,86.93,83.52,62.09,17.05,24.35,18.26
average,2021-06-23 20:50:06,2207.76,618.17,728.56,309.09,264.93,287.01,98.91,123.63,74.18,117.45,111.27,167.57,189.43,145.71,225.85,160.73,148.36,145.71,119.22,88.97,86.1,57.4,54.53
high,2021-03-20 20:02:28,3064.07,1133.71,980.5,245.13,367.69,337.05,238.08,340.11,147.38,158.72,113.37,215.71,225.52,245.12,294.15,142.18,102.95,220.61,147.08,178.64,60.67,47.19,50.56
low,2020-12-12 07:29:57,1252.2,500.88,425.75,112.7,112.7,100.18,60.11,55.1,65.11,125.22,130.23,63.86,131.98,123.47,106.44,66.49,46.21,77.76,34.94,30.05,25.05,21.04,24.04
average,2020-09-16 21:26:55,2208.56,839.25,596.31,220.86,287.11,265.03,167.85,184.64,92.32,134.28,159.46,107.34,113.3,190.82,184.86,128.1,92.76,212.46,74.65,159.02,26.5,37.1,42.4
high,2021-07-28 16:39:30,2639.39,1002.97,686.24,237.55,343.12,369.51,170.5,290.86,140.42,160.48,100.3,89.21,157.84,253.91,185.28,140.15,97.4,192.15,150.97,166.28,55.43,88.68,59.12
low,2020-11-12 03:40:27,1851.87,703.71,555.56,129.63,240.74,222.22,204.08,161.85,140.74,35.19,91.48,138.89,122.22,138.89,155.56,66.11,63.52,108.33,132.41,71.11,55.55,55.55,40.0
average,2021-06-19 10:42:34,2186.69,721.61,743.48,262.4,196.8,262.4,129.89,187.62,93.81,115.46,86.59,148.7,208.17,163.57,223.04,154.82,107.58,116.11,80.69,194.18,23.62,26.24,18.37
high,2020-09-13 16:19:42,2924.55,848.12,731.14,467.93,467.93,409.44,228.99,228.99,135.7,59.37,118.74,212.03,182.78,153.54,182.78,322.87,145.06,308.83,159.1,163.78,69.6,85.98,90.08
low,2021-05-19 12:15:13,1387.06,443.86,388.38,180.32,166.45,208.06,62.14,93.21,57.7,71.02,57.7,100.98,100.98,97.09,89.33,99.18,81.14,51.6,114.85,58.26,56.18,43.69,49.93
average,2021-01-18 07:08:22,2238.21,895.28,716.23,111.91,246.2,268.59,107.43,107.43,170.1,134.29,232.77,207.71,164.73,229.19,114.6,60.43,51.48,145.26,100.94,102.06,53.72,59.09,53.72
high,2020-11-02 04:52:01,2665.96,986.41,1013.06,159.96,213.28,293.26,276.19,207.15,98.64,128.23,128.23,222.87,243.13,212.74,334.31,84.78,75.18,149.3,63.98,170.09,46.92,26.39,49.85
low,2021-02-08 06:26:41,1537.84,476.73,553.62,123.03,215.3,169.16,119.18,128.72,52.44,57.21,42.91,66.43,127.33,166.09,193.77,86.12,36.91,109.8,105.5,72.74,30.45,32.14,33.83
average,2021-03-13 02:13:08,2242.3,739.96,739.96,246.65,179.38,336.35,162.79,74.0,88.8,125.79,125.79,199.79,177.59,199.79,162.79,147.99,98.66,100.45,78.93,87.45,77.36,77.36,94.18
high,2021-02-23 14:04:16,3195.97,894.87,1214.47,223.72,415.48,447.44,134.23,152.13,116.33,214.77,107.38,206.46,388.63,340.05,279.33,145.42,78.3,245.13,170.35,116.33,120.81,93.96,116.33
low,2020-12-20 08:02:40,1501.04,555.38,495.34,120.08,150.1,180.12,149.95,133.29,61.09,66.65,66.65,113.93,158.51,84.21,138.7,69.65,50.43,78.05,72.05,48.63,45.03,43.23,43.23
average,2021-01-17 16:08:16,2222.0,711.04,666.6,288.86,333.3,222.2,99.55,85.32,92.44,106.66,163.54,113.32,153.32,213.31,186.65,164.65,124.21,236.64,96.66,95.55,44.44,42.22,40.0
high,2021-05-10 13:55:27,3044.27,1095.94,882.84,456.64,213.1,395.76,164.39,317.82,186.31,87.68,131.51,203.05,203.05,256.02,220.71,260.28,196.36,125.73,87.37,284.95,23.75,19.79,67.28
low,2021-07-23 10:08:00,1890.82,699.6,642.88,170.17,207.99,170.17,181.9,83.95,76.96,125.93,132.92,90.0,141.43,218.58,192.86,100.4,69.77,56.16,151.83,76.58,39.14,23.82,30.63
average,2021-01-12 00:23:04,2185.71,590.14,699.43,327.86,262.28,306.0,177.04,94.42,59.01,88.52,112.13,202.83,167.86,160.87,167.86,213.11,114.75,81.31,180.97,186.66,45.9,36.72,36.72
high,2021-01-05 03:23:36,3012.21,994.03,1114.52,180.73,391.59,331.34,109.34,109.34,159.04,198.81,198.81,278.63,267.48,323.21,245.19,101.21,79.52,113.56,278.03,142.48,62.95,59.64,66.27
low,2021-05-15 04:22:11,1376.07,522.91,399.06,151.37,165.13,137.61,135.96,78.44,62.75,83.67,78.44,111.74,95.77,103.76,87.79,95.36,56.01,84.22,80.91,86.69,16.51,16.51,17.89
average,2021-01-05 21:30:40,2200.55,880.22,572.14,330.08,220.05,198.05,167.24,211.25,140.84,132.03,96.82,80.1,165.92,165.92,160.2,178.24,151.84,116.63,103.42,142.6,11.88,21.79,21.79
high,2020-12-30 23:15:07,2734.66,765.7,902.44,410.2,273.47,382.85,137.83,206.74,91.88,107.2,122.51,144.39,216.59,288.78,252.68,225.61,184.59,106.65,166.82,214.4,42.11,72.74,53.6
low,2020-09-11 14:28:26,1356.94,407.08,366.37,149.26,162.83,271.39,85.49,44.78,73.27,69.2,73.27,76.94,95.26,84.27,109.91,80.6,68.66,83.04,79.79,94.99,43.42,70.56,62.42
average,2020-12-27 12:48:21,2196.22,746.71,790.64,131.77,307.47,219.62,119.47,164.28,112.01,104.54,141.87,213.47,173.94,158.13,245.1,67.2,64.57,172.18,135.29,85.65,41.73,43.92,48.32
high,2021-03-18 02:27:07,3176.62,984.75,1016.52,412.96,476.49,285.9,167.41,108.32,196.95,167.41,246.19,193.14,294.79,223.63,304.96,231.26,181.7,223.95,252.54,137.23,40.03,40.03,68.62
low,2020-11-08 19:24:08,1898.96,569.69,588.68,208.89,246.86,284.84,108.24,159.51,74.06,91.15,79.76,176.6,117.74,141.28,153.06,121.16,87.73,71.59,175.27,142.42,51.27,39.88,51.27
average,2020-11-24 11:37:44,2252.16,833.3,698.17,247.74,292.78,180.17,233.32,149.99,133.33,133.33,75.0,202.47,195.49,153.6,146.62,153.6,94.14,76.12,216.66,84.68,34.23,25.22,36.03
high,2021-04-23 04:29:09,2786.87,808.19,863.93,306.56,473.77,334.42,234.38,185.88,113.15,105.06,64.66,112.31,259.18,181.43,311.01,193.13,113.43,312.69,161.08,120.39,73.57,63.54,76.92
low,2020-10-01 01:39:49,1808.79,524.55,705.43,144.7,271.32,162.79,57.7,110.16,104.91,73.44,104.91,169.3,197.52,169.3,169.3,85.37,59.33,170.93,100.39,96.05,19.53,30.93,16.28
average,2021-08-06 17:23:23,2181.86,567.28,872.74,305.46,240.0,196.37,119.13,68.07,68.07,102.11,96.44,113.46,261.82,279.28,218.18,198.55,106.91,168.0,72.0,117.82,23.56,25.53,29.46
high,2021-07-08 12:16:32,2639.93,818.38,976.77,316.79,237.59,290.39,139.12,163.68,114.57,106.39,130.94,214.89,195.35,244.19,322.33,193.24,123.55,168.69,68.9,214.89,23.23,11.62,40.65
low,2020-12-21 19:03:56,1830.64,622.42,677.34,183.06,164.76,183.06,99.59,149.38,112.04,62.24,124.48,88.05,182.88,250.62,155.79,113.5,69.56,120.27,44.49,100.68,25.63,21.97,34.78
average,2020-09-24 06:22:55,2174.38,782.78,674.06,152.21,347.9,217.44,172.21,109.59,148.73,101.76,133.07,195.48,121.33,202.22,155.03,103.5,48.71,222.66,125.24,102.2,30.44,47.84,36.96
high,2021-02-22 05:44:30,2896.84,955.96,1013.89,318.65,289.68,318.65,95.6,210.31,152.95,162.51,200.75,294.03,314.31,152.08,253.47,175.26,143.39,176.7,112.98,178.44,28.68,66.92,44.61
low,2021-02-03 02:54:32,1579.7,600.29,521.3,221.16,78.99,157.97,138.07,66.03,84.04,126.06,90.04,78.19,151.18,140.75,151.18,121.64,99.52,42.65,36.34,67.93,30.01,23.7,36.33
average,2020-10-07 07:50:37,2177.21,653.16,827.34,130.63,391.9,174.18,189.42,97.97,84.91,84.91,78.38,173.74,239.93,256.48,157.19,87.52,43.11,223.38,168.52,116.7,17.42,24.39,15.68
high,2021-01-02 13:48:47,2942.63,853.36,1029.92,294.26,470.82,294.26,128.0,221.87,110.94,102.4,187.74,102.99,308.98,288.38,329.57,200.1,94.16,310.74,160.08,144.19,73.56,35.31,41.2
low,2021-01-08 03:51:52,1575.56,456.91,614.47,220.58,220.58,63.02,73.11,82.24,68.54,50.26,123.37,178.2,147.47,116.75,172.05,145.58,75.0,161.02,59.56,34.66,6.93,11.97,9.45
average,2021-06-17 21:42:36,2190.79,657.24,832.5,262.9,153.36,284.8,72.3,72.3,78.87,65.72,203.74,124.88,258.08,191.48,258.08,163.0,99.9,67.48,85.88,99.68,48.42,68.35,68.35
high,2021-03-04 16:53:26,3106.26,962.94,931.88,341.69,434.88,434.88,269.62,240.74,154.07,86.66,86.66,130.46,242.29,316.84,242.29,225.52,116.17,269.63,165.25,152.21,60.88,113.07,108.72
low,2021-08-11 05:10:01,1487.78,446.33,461.21,178.53,238.04,163.66,58.02,58.02,49.1,84.8,116.05,110.69,119.91,115.3,115.3,114.26,64.27,140.44,97.6,52.37,44.19,42.55,24.55
average,2020-12-09 16:40:17,2206.12,728.02,705.96,286.8,242.67,242.67,138.32,101.92,72.8,218.41,94.64,155.31,190.61,134.13,225.91,192.16,94.64,167.44,75.23,152.88,36.4,19.41,33.97
high,2021-08-01 04:57:36,2601.45,910.51,832.46,338.19,234.13,286.16,163.89,200.31,163.89,127.47,109.26,216.44,266.39,141.52,208.12,202.91,135.28,161.55,72.58,208.9,25.75,31.48,20.03
low,2021-02-24 16:13:31,1390.81,375.52,445.06,152.99,152.99,264.25,90.12,86.37,71.35,37.55,48.82,102.36,111.27,102.36,129.07,79.55,73.44,42.84,110.15,100.42,47.56,52.85,63.42
average,2020-11-16 06:41:45,2261.99,701.22,814.31,248.82,203.58,294.06,133.23,98.17,84.15,105.18,112.2,203.58,203.58,219.86,187.29,146.8,102.02,132.33,71.25,205.84,35.29,20.58,32.35
high,2021-05-02 16:56:27,2507.58,651.97,727.2,376.14,426.29,325.99,97.8,78.24,84.76,136.91,156.47,203.62,138.17,189.07,196.34,195.59,180.55,238.72,187.57,153.22,55.42,45.64,71.72
low,2020-10-25 01:53:50,1340.99,496.17,442.53,107.28,174.33,120.69,64.5,49.62,64.5,69.46,124.04,53.1,150.46,123.91,115.06,61.15,46.13,106.34,67.99,33.79,33.79,27.76,25.34
average,2021-04-19 22:57:48,2205.62,794.02,860.19,154.39,176.45,220.56,166.74,182.62,127.04,103.22,79.4,180.64,232.25,215.05,232.25,106.53,47.86,111.16,65.29,61.76,59.55,50.73,48.52
high,2021-07-23 16:51:32,2823.81,734.19,790.67,649.48,282.38,367.1,146.84,102.79,88.1,110.13,190.89,86.97,292.55,268.83,142.32,428.66,220.82,206.14,76.24,234.94,25.7,44.05,62.41
low,2021-07-07 05:52:15,1680.93,605.13,638.75,117.67,151.28,168.09,90.77,151.28,72.62,72.62,102.87,83.04,210.79,185.24,159.69,76.49,41.18,51.44,99.84,92.45,25.21,15.13,35.3
average,2021-01-06 13:46:30,2267.8,634.98,861.76,204.1,362.85,204.1,133.35,158.74,114.3,82.55,63.5,241.29,258.53,163.73,198.2,138.79,65.31,108.86,254.0,89.8,53.07,26.53,34.7
high,2021-03-01 06:29:32,3020.31,1087.31,815.48,392.64,332.23,392.64,228.34,130.48,119.6,152.22,250.08,187.56,212.02,212.02,203.87,212.03,180.61,202.66,129.57,235.58,58.9,62.82,35.34
low,2021-01-31 13:30:28,1765.88,459.13,582.74,247.22,282.54,194.25,119.37,78.05,87.23,78.05,41.32,87.41,122.38,198.13,174.82,153.28,93.94,161.05,121.49,56.33,46.62,44.68,46.62
average,2021-02-24 13:50:56,2197.43,571.33,835.02,241.72,263.69,285.67,154.26,171.4,108.55,28.57,51.42,100.2,250.51,200.4,283.91,166.79,74.93,195.13,68.56,74.27,51.42,74.27,85.7
high,2021-07-15 22:34:36,3168.96,919.0,1204.2,411.96,285.21,348.59,101.09,229.75,137.85,229.75,119.47,252.88,313.09,349.22,289.01,214.22,197.74,77.01,208.2,209.15,31.37,34.86,73.2
low,2020-12-26 12:54:00,1911.41,668.99,726.34,210.26,152.91,152.91,100.35,113.73,66.9,147.18,133.8,174.32,174.32,210.64,167.06,128.26,82.0,111.62,41.29,45.87,33.64,33.64,39.76
average,2020-10-14 15:54:47,2263.41,724.29,588.49,316.88,339.51,294.24,101.4,108.64,86.91,115.89,188.32,147.12,170.66,129.47,141.24,186.96,129.92,183.34,156.17,79.44,82.39,70.62,61.79
high,2020-09-12 15:14:00,2981.76,834.89,1013.8,387.63,238.54,506.9,83.49,192.02,166.98,150.28,116.88,253.45,223.04,233.17,304.14,197.69,189.94,176.52,62.02,212.9,131.79,70.97,91.24
low,2021-05-20 11:48:26,1757.45,632.68,474.51,281.19,193.32,175.75,107.56,139.19,113.88,82.25,88.58,104.39,94.9,132.86,142.35,194.02,87.17,54.13,139.19,73.81,35.15,29.88,36.91
average,2021-02-08 10:51:34,2264.91,838.02,702.12,226.49,226.49,271.79,125.7,192.74,142.46,125.7,142.46,119.36,196.59,196.59,189.57,154.01,72.48,81.54,144.95,127.74,43.49,46.2,54.36
high,2020-09-07 11:21:10,2767.91,1079.48,1024.13,193.75,166.07,304.47,161.92,237.49,151.13,291.46,151.13,122.9,286.76,317.48,297.0,118.19,75.56,76.39,89.68,213.13,33.49,18.27,39.58
low,2021-03-23 16:14:08,1325.23,397.57,344.56,251.79,185.53,145.78,107.34,95.42,47.71,43.73,55.66,62.02,99.92,89.59,93.03,158.63,93.16,55.66,129.87,37.9,45.19,33.53,29.16
average,2020-12-18 11:32:58,2207.91,596.14,662.37,309.11,331.19,309.11,83.46,125.19,59.61,137.11,101.34,198.71,152.35,139.1,172.22,163.83,145.28,165.6,165.6,136.01,71.1,49.46,52.55
high,2021-07-14 04:22:29,3064.36,1072.53,1011.24,398.37,367.72,214.51,321.76,225.23,171.6,85.8,150.15,212.36,232.59,273.03,293.26,258.94,139.43,132.38,235.34,152.3,15.02,21.45,25.74
low,2020-11-05 04:50:21,1544.91,463.47,417.13,200.84,200.84,262.63,83.42,69.52,69.52,83.42,60.25,62.57,133.48,95.94,125.14,104.44,96.4,66.28,134.56,136.57,39.39,36.77,49.9
average,2021-02-24 17:19:58,2196.95,790.9,549.24,307.57,307.57,241.66,134.45,166.09,118.64,150.27,94.91,54.92,115.34,181.25,197.73,199.92,107.65,101.5,206.07,154.66,31.42,31.42,24.17
high,2020-10-30 22:44:02,2776.85,1055.2,944.13,305.45,249.92,222.15,158.28,116.07,137.18,221.59,221.59,217.15,245.47,254.92,226.59,158.83,146.62,177.44,72.48,148.84,22.22,24.44,26.66
low,2021-02-20 02:04:26,1937.94,658.9,542.62,329.45,155.04,251.93,191.08,171.31,65.89,32.95,138.37,146.51,113.95,124.8,157.36,227.32,102.13,89.92,65.12,90.69,50.39,50.39,60.46
average,2020-10-07 01:38:43,2225.34,845.63,734.36,133.52,267.04,244.79,160.67,84.56,135.3,152.21,177.58,110.15,190.93,176.25,257.03,86.79,46.73,82.78,184.26,166.46,24.48,17.14,36.72
high,2020-12-02 09:39:21,2535.75,862.16,735.37,304.29,253.58,380.36,250.03,198.3,103.46,68.97,112.08,110.31,250.03,205.9,169.14,179.53,124.76,174.97,78.61,228.22,57.05,53.25,41.84
low,2021-05-15 05:12:34,1859.02,613.48,483.35,278.85,278.85,204.49,159.5,122.7,116.56,55.21,67.48,58.0,120.84,140.17,164.34,195.19,83.66,119.91,158.94,118.6,30.67,30.67,24.54
average,2020-10-20 10:23:04,2260.92,610.45,859.15,203.48,226.09,361.75,152.61,97.67,97.67,73.25,115.99,249.15,240.56,163.24,206.2,138.37,65.11,88.18,137.91,108.52,68.73,86.82,97.67
high,2020-11-25 05:50:12,2849.33,740.83,1025.76,199.45,313.43,569.87,185.21,170.39,111.12,66.67,111.12,153.86,297.47,276.96,297.47,123.66,75.79,210.0,103.43,170.96,176.66,125.37,96.88
low,2021-04-10 07:19:16,1581.33,442.77,426.96,300.45,205.57,205.57,84.13,44.28,88.55,106.26,75.27,119.55,136.63,85.39,85.39,153.23,147.22,57.56,148.01,59.62,63.73,30.84,51.39
average,2021-08-10 20:09:37,2192.44,833.13,811.2,241.17,197.32,109.62,224.95,191.62,108.31,83.31,141.63,89.23,219.02,251.47,251.47,132.64,108.53,118.39,78.93,62.48,18.64,17.54,10.96
high,2021-06-30 21:47:18,3055.26,886.03,824.92,458.29,427.74,458.29,186.07,177.21,150.63,115.18,159.49,123.74,230.98,239.23,230.98,274.97,183.32,171.1,256.64,137.49,109.99,114.57,96.24
low,2021-04-09 14:09:35,1817.28,690.57,636.05,163.56,145.38,181.73,200.27,151.93,82.87,75.96,75.96,101.77,178.09,254.42,101.77,89.96,73.6,66.87,78.51,90.86,19.99,30.89,39.98
average,2021-01-09 20:10:10,2194.55,636.42,702.26,219.45,329.18,307.24,120.92,95.46,108.19,140.01,101.83,175.56,147.47,203.66,175.56,114.11,105.34,115.21,213.97,116.75,55.3,61.45,73.74
high,2021-05-09 16:26:35,3166.23,791.56,791.56,443.27,411.61,728.23,158.31,229.55,102.9,87.07,126.65,205.81,221.64,158.31,205.81,248.23,195.04,172.88,238.73,225.75,160.21,182.06,160.21
low,2021-06-04 00:48:16,1728.03,535.69,570.25,190.08,224.64,207.36,117.85,112.49,58.93,80.35,107.14,165.37,131.16,171.07,102.64,96.94,93.14,130.29,94.35,120.27,33.18,20.74,33.18
average,2021-04-15 14:20:10,2226.61,690.25,801.58,200.39,222.66,311.73,138.05,131.15,89.73,110.44,124.24,104.21,288.57,224.44,184.36,124.24,76.15,91.29,131.37,121.57,74.82,49.88,65.46
high,2020-10-06 18:45:51,2896.52,868.96,724.13,434.48,579.3,289.65,225.93,225.93,173.79,69.52,69.52,94.14,253.45,166.55,210.0,225.93,208.55,376.54,202.75,176.69,31.86,49.24,31.86
low,2021-07-08 21:08:47,1780.2,498.46,623.07,213.62,213.62,231.43,124.61,94.71,49.85,84.74,64.8,112.15,180.69,174.46,155.77,149.53,64.09,136.72,76.9,159.69,30.09,25.46,16.2
average,2021-04-27 01:03:30,2178.84,827.96,784.38,239.67,152.52,174.31,231.83,157.31,140.75,99.36,99.36,86.28,243.16,203.94,251.0,131.82,107.85,53.38,99.14,123.76,20.92,15.69,13.94
high,2020-10-13 02:04:59,3061.17,1224.47,1102.02,244.89,306.12,183.67,195.92,134.69,134.69,244.89,195.92,330.61,231.42,308.57,231.42,149.38,95.51,180.61,125.51,49.59,36.73,55.1,42.24
low,2021-02-08 22:47:06,1333.28,359.99,399.98,226.66,186.66,159.99,104.4,90.0,57.6,32.4,36.0,80.0,127.99,64.0,127.99,122.4,104.26,67.2,119.46,100.79,14.4,17.6,27.2
average,2020-11-28 08:18:57,2260.1,768.44,610.23,406.82,180.81,293.81,161.37,130.63,107.58,138.32,115.27,152.56,146.46,140.35,170.86,231.89,174.93,112.1,68.71,173.35,58.76,35.26,26.44
high,2020-11-10 01:44:34,2524.98,908.99,908.99,202.0,353.5,151.5,209.07,272.7,145.44,99.99,63.63,209.07,336.33,181.8,181.8,125.24,76.76,226.24,127.26,113.62,18.18,13.63,6.06
low,2021-02-22 13:31:02,1543.33,617.33,509.3,154.33,138.9,123.47,92.6,129.64,111.12,61.73,104.95,71.3,157.88,142.6,137.51,83.34,70.99,90.29,48.62,88.9,17.29,4.94,12.35
average,2020-11-01 08:45:47,2233.57,871.09,647.74,357.37,178.69,178.69,174.22,113.24,148.09,165.51,139.37,161.94,161.94,181.37,142.5,196.55,160.82,58.97,119.72,78.62,17.87,41.1,41.1
high,2021-02-09 16:05:47,2890.09,924.83,1069.33,346.81,231.21,317.91,138.72,175.72,138.72,120.23,268.2,192.48,320.8,299.41,256.64,228.89,117.92,62.43,168.78,232.07,31.79,28.61,25.43
low,2021-08-30 06:09:03,1937.45,503.74,619.98,251.87,232.49,329.37,115.86,95.71,85.64,80.6,70.52,68.2,173.59,204.59,173.59,148.6,103.27,93.0,139.49,237.15,49.41,9.88,32.94
average,2020-11-14 20:30:59,2257.6,699.86,564.4,248.34,270.91,474.1,132.97,167.97,76.98,125.97,104.98,79.02,152.39,180.61,152.39,136.59,111.75,127.33,143.58,284.46,37.93,90.08,61.63
high,2021-02-19 23:17:25,2613.68,757.97,967.06,287.5,182.96,418.19,159.17,98.54,90.96,90.96,128.85,212.75,203.08,280.45,270.78,155.25,132.25,65.87,117.09,213.28,66.91,75.27,62.73
low,2021-03-09 01:26:32,1547.99,526.32,526.32,77.4,201.24,216.72,68.42,142.11,57.9,63.16,94.74,142.11,178.95,94.74,110.53,47.99,29.41,78.48,122.76,136.53,23.84,26.01,30.34
average,2021-08-22 13:49:07,2210.5,552.62,751.57,287.36,375.78,243.15,105.0,82.89,71.84,88.42,121.58,150.31,248.02,180.38,172.86,149.43,137.93,225.47,150.31,75.38,65.65,51.06,51.06
high,2020-12-27 22:02:10,2995.43,1048.4,958.54,209.68,419.36,359.45,241.13,304.04,125.81,136.29,83.87,220.46,201.29,230.05,306.73,125.81,83.87,255.81,163.55,172.54,89.86,43.13,53.92
low,2021-07-05 14:25:36,1505.68,466.76,557.1,135.51,135.51,210.8,88.68,74.68,74.68,56.01,74.68,94.71,161.56,194.98,105.85,88.08,47.43,59.62,75.89,107.51,40.05,29.51,33.73
average,2020-09-21 07:57:12,2220.76,777.27,755.06,199.87,244.28,244.28,124.36,101.05,124.36,178.77,124.36,196.32,211.42,166.11,181.21,117.92,81.95,173.44,70.84,65.96,65.96,56.18,56.18
high,2021-05-26 12:51:16,2773.0,831.9,720.98,305.03,443.68,471.41,116.47,158.06,133.1,124.78,141.42,136.99,201.87,158.62,223.5,176.92,128.11,235.15,208.53,202.71,84.85,84.85,99.0
low,2020-10-18 13:12:23,1646.13,444.46,543.22,214.0,263.38,181.07,53.34,62.22,80.0,106.67,88.89,157.53,119.51,141.24,124.94,132.68,81.32,184.37,79.01,77.86,43.46,27.16,32.59
